step,applied,reason,joint_w4_loss,cycle_loss,teacher_mse,budget_penalty,dual_mse,dual_ssim,block,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,spectral_loss,adversarial_loss,grad_norm,learning_rate,reconstruction_gradient_norm,cycle_gradient_norm,joint_w4_gradient_norm
111,True,,0.01621805690228939,0.03854358568787575,,0.0,,,,,,0.004079626873135567,0.1145407184958458,0.0,0.0321371927857399,0.0,0.0,0.0,0.0,0.12127146869897842,0.0004977075133001855,,,
112,True,,0.012192455120384693,0.03216706961393356,,0.0,,,,,,0.004225964657962322,0.0733191967010498,0.0,0.024072010070085526,0.0,0.0,0.0,0.0,0.15696981549263,0.0004976563752433449,,,
113,True,,0.015198859386146069,0.046366702765226364,,0.0,,,,,,0.0043390910141170025,0.09936994314193726,0.0,0.02993861213326454,0.0,0.0,0.0,0.0,0.19446122646331787,0.0004976046760827167,,,
114,True,,0.009809288196265697,0.03906646743416786,,0.0,,,,,,0.0018218355253338814,0.07280099391937256,0.0,0.019301887601614,0.0,0.0,0.0,0.0,0.15289166569709778,0.0004975524159485849,,,
115,True,,0.008717579767107964,0.02690151520073414,,0.0,,,,,,0.002000833861529827,0.060110267251729965,0.0,0.016998454928398132,0.0,0.0,0.0,0.0,0.11441794037818909,0.0004974995949726472,,,
116,True,,0.009549030102789402,0.024026401340961456,,0.0,,,,,,0.002681439509615302,0.06444147229194641,0.0,0.018914882093667984,0.0,0.0,0.0,0.0,0.14863261580467224,0.000497446213288015,,,
117,True,,0.016833852976560593,0.03471047803759575,,0.0,,,,,,0.005222823470830917,0.10684072226285934,0.0,0.03308785334229469,0.0,0.0,0.0,0.0,0.14439909160137177,0.0004973922710292123,,,
118,True,,0.015231693163514137,0.03515581786632538,,0.0,,,,,,0.004698629956692457,0.09319815784692764,0.0,0.029601696878671646,0.0,0.0,0.0,0.0,0.16270260512828827,0.0004973377683321761,,,
119,True,,0.011949053965508938,0.03193552792072296,,0.0,,,,,,0.0027008717879652977,0.0828702375292778,0.0,0.02325630560517311,0.0,0.0,0.0,0.0,0.12047312408685684,0.0004972827053342556,,,
120,True,,0.007889780215919018,0.04231260344386101,,0.0,,,,,,0.0014153815573081374,0.0566665455698967,0.0,0.015394942834973335,0.0,0.0,0.0,0.0,0.16305333375930786,0.0004972270821742116,,,
121,True,,0.008331122808158398,0.02936527505517006,,0.0,,,,,,0.0017753139836713672,0.056428346782922745,0.0,0.0160429235547781,0.0,0.0,0.0,0.0,0.2067803591489792,0.0004971708989922173,,,
122,True,,0.015575950033962727,0.037803538143634796,,0.0,,,,,,0.004752832464873791,0.09502971172332764,0.0,0.03020978905260563,0.0,0.0,0.0,0.0,0.16212521493434906,0.0004971141559298566,,,
123,True,,0.01262238621711731,0.03158145025372505,,0.0,,,,,,0.0032918776851147413,0.08326481282711029,0.0,0.024556558579206467,0.0,0.0,0.0,0.0,0.14482516050338745,0.0004970568531301243,,,
124,True,,0.020568592473864555,0.04430244490504265,,0.0,,,,,,0.007973507978022099,0.11236630380153656,0.0,0.04022175446152687,0.0,0.0,0.0,0.0,0.22600902616977692,0.0004969989907374265,,,
125,True,,0.010374248959124088,0.03388164937496185,,0.0,,,,,,0.003064502729102969,0.06596328318119049,0.0,0.02037389576435089,0.0,0.0,0.0,0.0,0.19024260342121124,0.0004969405688975784,,,
