step,applied,reason,block,spectral_loss,adversarial_loss,discriminator_loss,discriminator_applied,reconstruction_mse,perceptual_loss,preservation_mse,loss,residual_loss,trust_loss,grad_norm,learning_rate
90,True,,conv_out,0.0,0.0,,,5.91466869082069e-06,0.0,0.0,5.91466869082069e-06,0.0,0.0,3.0393465522138285e-07,0.01
91,True,,conv_out,0.0,0.0,,,7.760551852697972e-06,0.0,0.0,7.760551852697972e-06,0.0,0.0,1.9750684998598445e-07,0.01
92,True,,conv_out,0.0,0.0,,,9.432716979063116e-06,0.0,0.0,9.432716979063116e-06,0.0,0.0,1.1579827230434603e-07,0.01
93,True,,conv_out,0.0,0.0,,,6.494672561530024e-06,0.0,0.0,6.494672561530024e-06,0.0,0.0,1.6354152876374428e-07,0.01
94,True,,conv_out,0.0,0.0,,,6.841768481535837e-06,0.0,0.0,6.841768481535837e-06,0.0,0.0,1.230927750839328e-07,0.01
95,True,,conv_out,0.0,0.0,,,5.052115739090368e-06,0.0,0.0,5.052115739090368e-06,0.0,0.0,1.3121000108640146e-07,0.01
96,True,,conv_out,0.0,0.0,,,8.145728315867018e-06,0.0,0.0,8.145728315867018e-06,0.0,0.0,1.848470816412373e-07,0.01
97,True,,conv_out,0.0,0.0,,,1.6196448996197432e-05,0.0,0.0,1.6196448996197432e-05,0.0,0.0,2.734336987941788e-07,0.01
98,True,,conv_out,0.0,0.0,,,1.152015829575248e-05,0.0,0.0,1.152015829575248e-05,0.0,0.0,2.367162039718096e-07,0.01
99,True,,conv_out,0.0,0.0,,,6.827106517448556e-06,0.0,0.0,6.827106517448556e-06,0.0,0.0,1.2274585969862528e-07,0.01
100,True,,conv_out,0.0,0.0,,,2.2747954062651843e-05,0.0,0.0,2.2747954062651843e-05,0.0,0.0,1.497617319046185e-07,0.01
